Action, Reward , Loss, Remaining length, Punto objetivo
############# EPISODIO 0#################
Punto alcanzado 
1, 3.8428546440013602, 2.2282369136810303, 6.455580438496323,[-18.  -8. -15.],[-15.614297866821289, -3.8126347064971924, -10.12926197052002]
4, 3.622146639829229, 2.233898878097534, 6.851984509710149,[-18.  -8. -15.],[-16.175315856933594, -3.813345432281494, -10.472155570983887]
1, 3.857375598477412, 2.4483838081359863, 6.431090410243699,[-18.  -8. -15.],[-16.735183715820312, -3.8137967586517334, -10.93155574798584]
4, 4.1507803914624875, 2.371428966522217, 5.972963790476877,[-18.  -8. -15.],[-17.29391860961914, -3.8141002655029297, -11.923683166503906]
4, 4.723646281795741, 4.476032733917236, 5.242521604834476,[-18.  -8. -15.],[-17.851425170898438, -3.81441068649292, -11.886861801147461]
3, 4.7451733196879164, 4.168214321136475, 5.218511456952266,[-18.  -8. -15.],[-18.410598754882812, -3.8782496452331543, -11.885631561279297]
7, 4.7779716606656395, 4.242645263671875, 5.182345810212936,[-18.  -8. -15.],[-18.954710006713867, -4.302430629730225, -11.715105056762695]
7, 4.91423319984354, 2.201385021209717, 5.037263665223692,[-18.  -8. -15.],[-19.509281158447266, -4.680181980133057, -10.492422103881836]
4, 4.274929502872377, 4.331981182098389, 5.798049653965569,[-18.  -8. -15.],[-20.0625, -4.854703426361084, -9.609774589538574]
3, 3.7748546132103185, 4.394216537475586, 6.572771619471404,[-18.  -8. -15.],[-20.614540100097656, -4.976919651031494, -9.695015907287598]
4, 3.7357397776189702, 3.021562099456787, 6.642114945954326,[-18.  -8. -15.],[-21.166343688964844, -5.441062927246094, -9.776507377624512]
1, 3.7466681929539947, 3.8836584091186523, 6.622595146539835,[-18.  -8. -15.],[-21.719341278076172, -5.76911735534668, -10.190927505493164]
1, 3.8308786036975713, 4.724643707275391, 6.475918095099635,[-18.  -8. -15.],[-22.2680721282959, -5.886419773101807, -11.437516212463379]
1, 4.1682752214050645, 2.924323081970215, 5.947684575053772,[-18.  -8. -15.],[-22.81279182434082, -5.936911582946777, -12.620512962341309]
1, 4.309133175331169, 2.7466373443603516, 5.751630857713901,[-18.  -8. -15.],[-23.3623104095459, -5.959193706512451, -13.781909942626953]
1, 4.226251438912969, 4.577863693237305, 5.865407628096598,[-18.  -8. -15.],[-23.90779685974121, -5.968967914581299, -14.91841983795166]
7, 3.969700445379752, 2.6254234313964844, 6.247704409685864,[-18.  -8. -15.],[-24.452173233032227, -5.973611831665039, -15.75844955444336]
1, 3.6468163038195542, 2.8643898963928223, 6.80529456852977,[-18.  -8. -15.],[-24.992494583129883, -5.976059436798096, -15.835880279541016]
7, 3.3887521538654326, 4.436850070953369, 7.327346841811186,[-18.  -8. -15.],[-25.534700393676758, -5.976987361907959, -16.6265926361084]
1, 3.1174705141697845, 2.7174947261810303, 7.969322038931221,[-18.  -8. -15.],[-26.072858810424805, -5.977573394775391, -16.6839599609375]
7, 2.9270597619057663, 2.6253621578216553, 8.490994046436162,[-18.  -8. -15.],[-26.615800857543945, -5.977930068969727, -17.478599548339844]
7, 2.7054979237726746, 2.691223382949829, 9.190443239793293,[-18.  -8. -15.],[-27.15463638305664, -5.97828483581543, -16.897180557250977]
3, 2.6000365981806057, 2.69114351272583, 9.565249268988724,[-18.  -8. -15.],[-27.689224243164062, -6.059863090515137, -15.858698844909668]
4, 2.5078248188805308, 2.776423931121826, 9.918798383277728,[-18.  -8. -15.],[-28.235151290893555, -6.6117262840271, -15.922660827636719]
