Action	Reward	Loss	Remaining	length	Punto	objetivo				
#############	EPISODIO	0#################								
Punto	Encontrado									
1	8,684649309	8,424842834	12,56981243	[18,	7	-5,]	[6,075128078460693	3,740451574	-2,7293972969055176]	
0	8,684836415	13,08226585	12,5691234	[18,	7	-5,]	[6,07517147064209	3,723809481	-2,949364423751831]	
5	8,693975664	11,45634079	12,53555208	[18,	7	-5,]	[6,075085163116455	3,553695202	-3,362030267715454]	
5	8,69808115	10,62930679	12,52052537	[18,	7	-5,]	[6,075063228607178	3,525510311	-3,765684127807617]	
1	8,7086551	20,06005478	12,48197626	[18,	7	-5,]	[6,075116157531738	3,71262455	-4,311127662658691]	
0	8,734443558	4,487946987	12,38887554	[18,	7	-5,]	[6,075286388397217	3,919142485	-5,243997573852539]	
7	8,754124233	4,818145752	12,3186855	[18,	7	-5,]	[6,075414657592773	3,95313096	-6,270325183868408]	
1	8,738857142	1,750368595	12,37307046	[18,	7	-5,]	[6,075533390045166	3,949095011	-7,191883563995361]	
1	8,703097231	12,50853729	12,50221095	[18,	7	-5,]	[6,075654029846191	3,94810009	-8,510820388793945]	
8	8,623291177	11,19477081	12,79960858	[18,	7	-5,]	[6,075773239135742	3,960324526	-9,904747009277344]	
8	8,509507566	15,43120956	13,24701302	[18,	7	-5,]	[6,0759968757629395	4,149592876	-10,926349639892578]	
3	8,420626418	7,425793648	13,61720571	[18,	7	-5,]	[6,076406955718994	4,537981033	-11,72171688079834]	
1	8,354044503	15,55747604	13,90737525	[18,	7	-5,]	[6,076808452606201	4,783726692	-12,6514253616333]	
1	8,259577818	7,595477104	14,33940982	[18,	7	-5,]	[6,0772624015808105	4,982098103	-13,961435317993164]	
1	8,115081531	16,44235992	15,05094425	[18,	7	-5,]	[6,077770233154297	5,188245773	-15,675734519958496]	
7	7,923003595	6,027072906	16,10569227	[18,	7	-5,]	[6,078368663787842	5,39180088	-17,46100616455078]	
5	7,729232385	5,215024948	17,32016954	[18,	7	-5,]	[6,078969478607178	5,611437321	-19,018585205078125]	
5	7,570130833	7,090005875	18,45426255	[18,	7	-5,]	[6,079715728759766	6,016861916	-20,58857536315918]	
5	7,421483797	3,339835167	19,64849662	[18,	7	-5,]	[6,08077335357666	6,663085461	-22,191160202026367]	
8	7,280845173	9,522026062	20,92169841	[18,	7	-5,]	[6,082400321960449	7,53313446	-23,64266014099121]	
4	7,161430255	4,879249573	22,13283063	[18,	7	-5,]	[6,084957599639893	8,593160629	-24,827592849731445]	
6	7,067220915	2,649279118	23,18706179	[18,	7	-5,]	[6,088639259338379	9,665078163	-25,851993560791016]	
4	6,987145425	14,76380348	24,16172162	[18,	7	-5,]	[6,0931715965271	10,5617075	-26,633930206298828]	
1	6,926807928	10,56751633	24,94965449	[18,	7	-5,]	[6,098379135131836	11,41100979	-27,555753707885742]	
2	6,85999444	3,750567675	25,88180079	[18,	7	-5,]	[6,104212284088135	12,27949429	-28,8670654296875]	
3	6,77399857	3,491856575	27,18491562	[18,	7	-5,]	[6,11100959777832	13,30803299	-30,43340492248535]	
7	6,679264228	21,67705345	28,77494499	[18,	7	-5,]	[6,118692398071289	14,20463085	-31,85132598876953]	
7	6,600844093	4,052691936	30,23352251	[18,	7	-5,]	[6,126973628997803	15,04333591	-32,85983657836914]	
6	6,546348463	11,0936985	31,33423849	[18,	7	-5,]	[6,136054039001465	15,87894535	-33,48904037475586]	
3	6,510002604	9,176120758	32,11252568	[18,	7	-5,]	[6,145697593688965	16,53551102	-33,88081359863281]	
3	6,486202466	2,821325064	32,6427917	[18,	7	-5,]	[6,1555047035217285	16,95759773	-34,267616271972656]	
8	6,46599697	7,817757607	33,1064825	[18,	7	-5,]	[6,165471076965332	17,19155312	-34,506900787353516]	
8	6,454107997	18,85919571	33,38534145	[18,	7	-5,]	[6,175412178039551	17,56089783	-34,352115631103516]	
5	6,455173757	4,960350037	33,36015785	[18,	7	-5,]	[6,185766696929932	18,16301346	-33,940250396728516]	
3	6,46231864	3,137330532	33,19227427	[18,	7	-5,]	[6,196666240692139	18,95197487	-33,52696990966797]	
1	6,466050711	10,95028782	33,10523227	[18,	7	-5,]	[6,207808017730713	19,59776878	-33,272796630859375]	
8	6,465301947	4,948719025	33,12265991	[18,	7	-5,]	[6,219491958618164	20,22203445	-33,10296630859375]	
3	6,461255395	3,54993844	33,2171534	[18,	7	-5,]	[6,231614589691162	20,99251366	-32,69659423828125]	
5	6,462537992	17,06470108	33,1871461	[18,	7	-5,]	[6,244014263153076	21,64585686	-32,29590606689453]	
6	6,464874167	9,066045761	33,13262458	[18,	7	-5,]	[6,256982803344727	22,40317154	-31,753284454345703]	
1	6,469348357	4,834519863	33,02869019	[18,	7	-5,]	[6,270306587219238	23,03529358	-31,11606788635254]	
2	6,478672971	2,27396059	32,81410291	[18,	7	-5,]	[6,2839274406433105	23,63916969	-30,868486404418945]	
0	6,47433356	2,281198025	32,91362808	[18,	7	-5,]	[6,298051357269287	24,39723015	-31,02354621887207]	
0	6,452689416	5,006151199	33,41891944	[18,	7	-5,]	[6,31264066696167	25,00486755	-31,589706420898438]	
1	6,421551923	7,301691055	34,17282709	[18,	7	-5,]	[6,327188968658447	25,38850594	-32,544464111328125]	
7	6,384452126	5,272165298	35,11536944	[18,	7	-5,]	[6,342070579528809	25,74013329	-33,59991455078125]	
1	6,346781563	10,97557831	36,12554534	[18,	7	-5,]	[6,356924057006836	26,09255791	-34,556251525878906]	
6	6,313614894	4,423860073	37,06290584	[18,	7	-5,]	[6,371860980987549	26,42926598	-35,60045623779297]	
1	6,279851947	9,495849609	38,06701874	[18,	7	-5,]	[6,386783599853516	26,59733582	-36,558868408203125]	
5	6,252457393	8,423113823	38,92151772	[18,	7	-5,]	[6,401730060577393	26,73537827	-37,757041931152344]	
5	6,220618404	3,427648544	39,96284295	[18,	7	-5,]	[6,417150020599365	27,07088089	-38,99215316772461]	
5	6,18653154	6,014532089	41,13962992	[18,	7	-5,]	[6,432448387145996	27,62576675	-40,205657958984375]	
#############	EPISODIO	5#################								
Punto	Encontrado									
5	9,606807121	13,24849319	9,853504106	[	0	0	-10,]	[2,839545005378641e-12	0,015275739	-2,7041401863098145]
8	11,02709119	1,261450648	7,295875805	[	0	0	-10,]	[1,2264514404058957e-10	0,212565318	-4,2184858322143555]
1	12,36874011	5,651919365	5,785420476	[	0	0	-10,]	[6,112807482416827e-10	0,621955931	-5,643757343292236]
8	14,25854245	10,32643127	4,400418078	[	0	0	-10,]	[1,7578061228817887e-09	1,083820105	-7,15626859664917]
5	17,36623736	15,06723309	3,043267046	[	0	0	-10,]	[2,9928217681884917e-09	1,72360909	-8,440292358398438]
2	20,03964546	13,18835258	2,324546455	[	0	0	-10,]	[3,758057420810701e-09	2,588731289	-9,872201919555664]
5	18,92027184	3,723771811	2,591883878	[	0	0	-10,]	[3,793560576781374e-09	3,67698884	-11,547979354858398]
1	15,02094936	4,857462883	3,989547219	[	0	0	-10,]	[3,736371656515303e-09	4,97198391	-13,380120277404785]
5	12,13049001	9,829998016	6,012140807	[	0	0	-10,]	[1,1641450470278869e-08	6,339325428	-15,490135192871094]
2	10,32695988	12,7739706	8,386216746	[	0	0	-10,]	[2,103667107178353e-08	7,846558094	-17,6979923248291]
1	9,169391012	14,65154457	10,99215901	[	0	0	-10,]	[3,239156498580087e-08	9,555980682	-20,284982681274414]
1	8,324656746	4,475000858	14,03914654	[	0	0	-10,]	[6,08474906016454e-08	11,29299259	-23,257919311523438]
5	7,715085221	4,488652706	17,41562822	[	0	0	-10,]	[1,1137881728018328e-07	13,04032135	-26,494102478027344]
5	7,270013315	3,308407307	21,02630252	[	0	0	-10,]	[1,6922997758683778e-07	14,94483089	-29,708415985107422]
6	6,942956563	6,073545456	24,73397726	[	0	0	-10,]	[2,3609798915913416e-07	17,01550484	-32,761024475097656]
5	6,699630613	4,47900629	28,41815687	[	0	0	-10,]	[3,555602177129913e-07	18,98620224	-35,64719009399414]
1	6,519290609	12,2436409	31,91009613	[	0	0	-10,]	[4,977657681592973e-07	21,07126617	-38,67647933959961]
1	6,366655927	3,282363892	35,58565337	[	0	0	-10,]	[6,782560149076744e-07	23,13232803	-42,00409698486328]
5	6,234908828	13,00308514	39,48881898	[	0	0	-10,]	[9,107166079047602e-07	25,20761299	-45,6126823425293]
1	6,120291011	6,244494438	43,63126054	[	0	0	-10,]	[1,1580582395254169e-06	27,41795731	-49,3202018737793]
#############	EPISODIO	6#################								
Punto	Encontrado									
7	10,64612163	3,857137442	7,855636358	[	0	0	-10,]	[0,0	0	-4,5386128425598145]
8	12,73827644	11,21372128	5,461387157	[	0	0	-10,]	[1,096070391566617e-12	0,014415209	-5,636905193328857]
8	14,32293383	10,09613991	4,36311862	[	0	0	-10,]	[6,868237922841303e-11	0,201207921	-6,342202663421631]
5	15,72195841	5,60296154	3,663327174	[	0	0	-10,]	[4,1149331164724856e-10	0,606249154	-6,819351673126221]
8	16,79826821	10,53949165	3,2379101	[	0	0	-10,]	[1,293649298794719e-09	1,250918746	-7,162247180938721]
7	17,19145912	4,738164902	3,101231815	[	0	0	-10,]	[2,910330643146608e-09	2,076055527	-7,095100402832031]
5	15,93972952	4,572244644	3,570496915	[	0	0	-10,]	[8,18949263958757e-09	2,953791857	-6,776170253753662]
6	14,30681108	12,13122368	4,372409469	[	0	0	-10,]	[1,6262097446428925e-08	3,977047682	-6,308623790740967]
8	12,78070151	7,646535873	5,426155783	[	0	0	-10,]	[3,144543114785847e-08	4,902347088	-5,43027925491333]
4	11,49191145	9,412842751	6,701891872	[	0	0	-10,]	[5,289543025810417e-08	5,930198669	-4,321548938751221]
8	10,42859582	8,769227982	8,210484926	[	0	0	-10,]	[8,206608015370875e-08	7,032150745	-3,038959503173828]
8	9,58934193	11,6378479	9,894808179	[	0	0	-10,]	[1,252787171779346e-07	8,316533089	-1,3490874767303467]
8	8,84611674	3,728135586	12,00012542	[	0	0	-10,]	[1,5258788721439487e-07	9,199081421	-0,17205451428890228]
8	8,457459297	11,65980721	13,46148623	[	0	0	-10,]	[1,5258788721439487e-07	9,199081421	-0,17205451428890228]
8	-105	7,10125494	999	[	0	0	-10,]	[1,5258788721439487e-07	9,199081421	-0,17205451428890228]
#############	EPISODIO	7#################								
Punto	Encontrado									
8	9,606807121	7,467174053	9,853504106	[	0	0	-10,]	[7,733820636852962e-13	0,01350458	-2,5607855319976807]
1	10,92471344	3,334826708	7,439226726	[	0	0	-10,]	[2,115814606851174e-10	0,198602498	-3,9796793460845947]
1	12,11886091	4,273539543	6,023595581	[	0	0	-10,]	[2,9333255824326443e-09	0,426427633	-5,786369800567627]
2	14,55081945	9,67688179	4,235152888	[	0	0	-10,]	[1,0037094710924066e-08	0,666626453	-7,9871087074279785]
1	21,02355521	11,94539261	2,120406137	[	0	0	-10,]	[1,922411740906682e-08	1,080689788	-10,563664436340332]
5	45	11,02126884	1,218855206	[	0	0	-10,]	[3,550864491330685e-08	1,533111572	-13,27066421508789]
Punto	Encontrado									
5	7,312651999	4,22304678	20,62020054	[15,	12	-5,]	[0,5307813882827759	3,012760878	-15,742715835571289]	
3	7,365420345	14,88261986	20,13789209	[15,	12	-5,]	[1,02729070186615	3,7016747	-14,60849666595459]	
0	7,515199052	6,073801994	18,87914236	[15,	12	-5,]	[1,4939308166503906	4,227711201	-13,638252258300781]	
2	7,657186404	9,199246407	17,81689591	[15,	12	-5,]	[1,9892033338546753	4,589887142	-12,959318161010742]	
1	7,784422617	6,946863174	16,9570442	[15,	12	-5,]	[2,4831290245056152	5,08991909	-12,673036575317383]	
5	7,902518022	2,179176092	16,22642189	[15,	12	-5,]	[2,9834156036376953	5,659298897	-12,6233549118042]	
7	8,015787021	12,89145279	15,57942012	[15,	12	-5,]	[3,476475954055786	6,385014057	-12,430618286132812]	
7	8,161221324	12,54022312	14,81667175	[15,	12	-5,]	[3,9622843265533447	7,14127636	-11,835346221923828]	
1	8,36424167	13,92358971	13,86219033	[15,	12	-5,]	[4,458297252655029	7,910333633	-11,129881858825684]	
0	8,60701068	3,389044762	12,86189408	[15,	12	-5,]	[4,943344593048096	8,644218445	-10,82801342010498]	
6	8,81735593	2,905849934	12,09807126	[15,	12	-5,]	[5,426984786987305	9,194289207	-10,62061595916748]	
8	9,016015561	4,41602993	11,45015096	[15,	12	-5,]	[5,916896343231201	9,558269501	-10,013652801513672]	
8	9,288752419	5,849581718	10,65840205	[15,	12	-5,]	[6,399813175201416	10,05904388	-9,025190353393555]	
6	9,676442812	13,6799593	9,691887404	[15,	12	-5,]	[6,879509449005127	10,75027943	-7,646590709686279]	
5	10,19111773	4,02276516	8,63183704	[15,	12	-5,]	[7,367238998413086	11,33662891	-5,989731311798096]	
6	10,73052959	4,423666	7,72519707	[15,	12	-5,]	[7,844221591949463	12,01953506	-4,224717140197754]	
1	11,09928599	4,993966579	7,19768086	[15,	12	-5,]	[8,329242706298828	12,58330917	-2,331728458404541]	
7	11,09142944	4,434193611	7,208253983	[15,	12	-5,]	[8,692975044250488	12,96904755	-1,0324493646621704]	
7	10,87273175	14,22451973	7,513925404	[15,	12	-5,]	[8,692975044250488	12,96904755	-1,0324493646621704]	
7	-105	12,84165382	999	[15,	12	-5,]	[8,692975044250488	12,96904755	-1,0324493646621704]	
#############	EPISODIO	8#################								
Punto	Encontrado									
7	9,606807121	8,444156647	9,853504106	[	0	0	-10,]	[0,0	0	-2,5816454887390137]
8	10,939403	4,877858162	7,418354511	[	0	0	-10,]	[-1,5708377795135148e-13	0,013776575	-3,6826796531677246]
1	11,83308848	4,218935013	6,317335369	[	0	0	-10,]	[-1,5791050411717578e-10	0,200938061	-4,714808940887451]
1	12,95037766	3,37759757	5,289009419	[	0	0	-10,]	[-2,9605500273532925e-09	0,429170668	-6,121577262878418]
